post_id,engagement_score,connection_strength,hours_since_posted,content_type,creator_followers
post_01268,54.08,0.61,155,video,328856
post_01269,14.95,0.6,95,image,159956
post_01270,73.83,0.29,136,image,351214
post_01271,76.16,0.45,136,poll,217810
post_01272,39.9,0.41,146,poll,338202
post_01273,44.19,0.49,54,article,54929
post_01274,64.14,0.66,130,poll,233028
post_01275,40.15,0.95,99,video,309895
post_01276,58.62,0.18,156,poll,66857
post_01277,54.01,0.28,154,poll,27241
post_01278,44.81,0.44,144,article,360213
post_01279,49.78,0.58,146,poll,200399
post_01280,68.28,0.36,162,video,150211
post_01281,56.96,0.6,103,text,174104
post_01282,94.31,0.7,102,video,188125
post_01283,54.8,0.27,30,poll,461936
post_01284,48.02,0.76,76,article,390682
post_01285,8.64,0.88,166,image,83570
post_01286,78.83,0.8,165,poll,264741
post_01287,52.84,0.77,12,poll,245838
post_01288,41.21,0.32,17,text,179616
post_01289,54.56,0.95,80,article,44129
post_01290,69.21,0.57,36,text,438191
post_01291,45.58,0.84,168,video,130205
post_01292,51.69,0.32,117,text,19867
post_01293,40.12,0.37,54,text,71148
post_01294,47.49,0.63,84,video,33807
post_01295,45.26,0.31,155,article,101063
post_01296,63.53,0.86,135,video,393851
post_01297,50.25,0.19,125,article,184057
post_01298,53.43,0.91,138,article,256701
post_01299,34.98,0.9,156,video,467062
post_01300,61.38,0.78,140,image,434477
post_01301,70.52,0.37,18,image,387420
post_01302,62.29,0.37,56,poll,131345
post_01303,66.29,0.9,7,image,163375
post_01304,63.03,0.99,20,poll,392690
post_01305,44.64,0.48,94,poll,96908
post_01306,45.89,0.74,117,video,318244
post_01307,67.21,0.21,73,poll,454512
post_01308,52.16,0.2,125,poll,76954
post_01309,27.3,0.77,96,text,99463
post_01310,45.48,0.14,152,article,58853
post_01311,45.55,0.68,150,poll,421549
post_01312,10.23,0.98,59,image,286726
post_01313,67.32,0.29,139,video,297012
post_01314,64.78,0.29,151,poll,9016
post_01315,25.07,0.62,18,article,278723
post_01316,70.07,0.65,122,article,139365
post_01317,39.2,0.14,61,article,160850
post_01318,48.46,0.63,122,video,481174
post_01319,59.18,0.53,159,image,205815
post_01320,22.81,0.46,0,text,163895
post_01321,28.43,0.82,53,image,416322
post_01322,44.51,0.87,108,poll,141978
post_01323,85.96,0.18,13,poll,315129
post_01324,90.01,0.93,154,poll,375797
post_01325,73.08,0.14,165,video,79777
post_01326,71.65,0.13,19,text,329544
post_01327,41.17,0.91,63,article,63936
post_01328,50.7,0.62,26,image,88391
post_01329,80.34,0.17,149,image,347210
post_01330,46.59,0.11,149,video,332101
post_01331,37.14,0.09,56,text,494668
post_01332,40,0.52,2,poll,258603
post_01333,47.99,0.6,24,video,164782
post_01334,24.47,0.43,26,article,268565
post_01335,20.04,0.36,156,image,285106
post_01336,57,0.54,142,video,150770
post_01337,62.51,0.24,26,text,188137
post_01338,86.2,0.83,155,video,305509
post_01339,64.08,0.64,129,video,99441
post_01340,28.07,0.71,4,article,3656
post_01341,51.7,0.63,68,poll,225595
post_01342,88.85,0.1,142,video,274566
post_01343,70.24,0.27,42,text,427107
post_01344,23.76,0.66,145,text,383482
post_01345,16.18,0.7,0,article,401372
post_01346,80.77,0.61,137,poll,322079
post_01347,38.08,0.19,105,image,149353
post_01348,86.47,0.07,134,poll,258865
post_01349,96.98,0.62,42,video,107051
post_01350,81.05,0.11,145,video,28538
post_01351,17.88,0.99,60,article,354321
post_01352,39.06,0.18,140,video,109910
post_01353,53.38,0.43,117,poll,449160
post_01354,36.96,0.71,140,article,426789
post_01355,39.44,0.99,45,image,431760
post_01356,88.52,0.74,119,poll,54644
post_01357,74.97,0.26,66,video,219247
post_01358,42.65,0.22,146,article,110317
post_01359,49.58,0.13,25,poll,318595
post_01360,41.48,0.78,73,text,246919
post_01361,47.91,0.63,68,text,240798
post_01362,35.94,0.17,140,text,265430
post_01363,48.39,0.65,92,text,426310
post_01364,48.93,0.66,117,text,492766
post_01365,67.6,0.92,1,article,184689
post_01366,52.51,0.64,146,article,25546
post_01367,47.27,0.71,44,poll,9995
post_01368,28.91,0.9,128,article,291675
post_01369,46.66,0.27,4,article,458227
post_01370,45.39,0.84,21,video,194714
post_01371,60.1,0.15,72,video,474007
post_01372,32.76,0.33,125,text,429934
post_01373,96.22,0.93,35,video,367970
post_01374,68.25,0.08,89,video,225883
post_01375,50.91,0.53,144,video,123665
post_01376,73.69,0.63,83,text,31811
post_01377,72.39,0.4,21,poll,76592
post_01378,28.92,0.83,65,image,87127
post_01379,32.22,0.16,8,text,246001
post_01380,61.74,0.2,159,poll,281399
post_01381,42.06,0.7,163,text,450330
post_01382,57.13,0.16,161,video,92811
post_01383,54.55,0.18,52,image,108319
post_01384,22.56,0.14,10,article,64699
post_01385,80.83,0.05,154,poll,161893
post_01386,53.24,0.6,58,image,376516
post_01387,32.28,0.63,36,text,1144
post_01388,19.31,0.31,145,text,264879
post_01389,66.38,0.07,69,text,287924
post_01390,52.32,0.69,161,video,218519
post_01391,14.59,0.93,68,text,399407
post_01392,63.66,0.06,123,video,372431
post_01393,64.68,0.7,86,text,169707
post_01394,64.04,0.97,136,article,321921
post_01395,70.06,0.6,109,poll,287092
post_01396,35.79,0.55,157,article,337934
post_01397,46.77,0.41,15,image,55137
post_01398,60.73,0.35,85,poll,23719
post_01399,41.15,0.64,108,image,118779
post_01400,31.73,0.7,73,image,481927
post_01401,32.11,0.82,56,article,396314
post_01402,55.93,0.81,164,image,246922
post_01403,19.69,0.94,35,image,96875
post_01404,12.46,0.59,110,image,124383
post_01405,75.44,0.92,166,text,267054
post_01406,8.76,0.31,77,article,392200
post_01407,59.9,0.19,78,article,211648
post_01408,55.64,0.2,109,text,193764
post_01409,86.87,0.09,159,poll,329312
post_01410,59.96,0.59,44,poll,251534
post_01411,63.96,0.65,101,video,16241
post_01412,75.21,0.33,0,video,9983
post_01413,53.75,0.38,84,image,385501
post_01414,55.08,0.74,163,poll,213286
post_01415,20.56,0.17,143,text,422899
post_01416,20.57,0.82,84,article,3994
post_01417,36.6,0.54,140,poll,17086
post_01418,41.4,0.99,58,video,309356
post_01419,3.13,0.95,154,article,371065
post_01420,20.79,0.78,7,image,357792
post_01421,48.34,0.88,31,image,63807
post_01422,92.07,0.09,5,video,334651
post_01423,27.13,0.66,116,article,210253
post_01424,36.32,0.1,151,text,184747
post_01425,25.86,0.31,167,article,258513
post_01426,70.74,0.81,162,video,285881
post_01427,51.6,0.26,62,poll,311623
post_01428,15.83,0.15,37,text,288941
post_01429,72.91,0.1,161,poll,242926
post_01430,37.58,0.87,77,poll,382484
post_01431,60.96,0.82,151,image,305331
post_01432,19.59,0.48,49,text,59471
post_01433,33.93,0.66,115,article,23424
post_01434,73.63,0.79,120,text,131420
post_01435,56.14,0.98,81,text,220828
post_01436,26.15,0.73,103,text,412595
post_01437,76.33,0.77,31,image,60003
post_01438,34.88,0.6,73,text,72805
post_01439,34.1,0.23,165,text,145931
post_01440,34.64,0.91,92,text,467071
post_01441,25.01,0.61,71,image,322969
post_01442,43.13,0.65,10,video,291617
post_01443,40,0.78,56,text,269092
post_01444,31.9,0.47,24,article,168498
post_01445,51.18,0.14,58,video,257192
post_01446,11.95,0.61,37,image,217707
post_01447,61.27,0.54,91,poll,113626
post_01448,79.89,0.11,116,video,209472
post_01449,51.75,0.1,26,text,493759
post_01450,50.43,0.7,124,poll,179215
post_01451,53.3,0.27,153,article,260892
post_01452,86.28,0.26,3,video,424896
post_01453,36.61,0.95,144,article,317661
post_01454,35.94,0.78,161,article,239998
post_01455,36.84,0.17,30,video,242009
post_01456,63.79,0.26,138,article,425957
post_01457,70.32,0.23,123,image,382065
post_01458,73.06,0.25,103,video,37696
post_01459,41.27,0.21,129,text,408936
post_01460,63.8,0.29,80,poll,457347
post_01461,41.84,0.25,155,image,226502
post_01462,8.57,0.73,38,article,175591
post_01463,39.12,0.8,85,video,48888
post_01464,59.07,0.3,17,poll,395672
post_01465,46.98,0.49,101,image,109991
post_01466,54.16,0.05,168,video,353050
post_01467,55.51,0.97,98,video,315778
post_01468,49.19,0.86,45,article,487627
post_01469,58.66,0.29,134,image,123004
post_01470,48.05,0.7,161,video,294224
post_01471,92.87,0.33,96,video,260218
post_01472,32.81,0.11,120,text,256785
post_01473,54.95,0.3,120,poll,17049
post_01474,37.29,0.49,50,article,53696
post_01475,68.95,0.65,63,poll,214407
post_01476,37.97,0.08,73,text,22879
post_01477,36.82,0.42,107,text,188550
post_01478,86.05,0.6,59,video,234265
post_01479,40.7,0.3,24,poll,493359
post_01480,81.03,0.85,154,poll,311847
post_01481,60.3,0.69,79,poll,363184
post_01482,40.03,0.67,83,video,427632
post_01483,70.1,0.68,12,poll,315589
post_01484,67.01,0.91,66,video,331230
post_01485,29.32,0.86,57,image,182771
post_01486,59.94,0.09,135,article,19085
post_01487,80.99,0.3,76,video,401875
post_01488,48.42,0.79,57,poll,329093
post_01489,37.64,0.35,53,article,397338
post_01490,49.94,0.22,22,image,317500
post_01491,40.85,0.82,158,text,20386
post_01492,51.15,0.98,159,image,180545
post_01493,16.17,0.45,87,article,15191
post_01494,51.62,0.22,22,image,145344
post_01495,66.95,0.08,14,poll,339726
post_01496,67.27,0.59,56,text,139228
post_01497,67.24,0.25,159,poll,360850
post_01498,48.54,0.5,58,video,293777
post_01499,52.97,0.19,45,video,160151
post_01500,27,0.9,23,video,50390
post_01501,58.64,0.11,91,poll,376090
post_01502,78.56,0.65,150,video,420674
post_01503,30.73,0.38,155,image,164956
post_01504,57.25,0.36,7,text,204649
post_01505,28.96,0.71,107,text,308750
post_01506,17.41,0.74,24,text,45736
post_01507,42.53,0.52,141,article,291891
post_01508,41.77,0.98,90,text,497008
post_01509,53.46,0.33,1,poll,319760
post_01510,44.7,0.39,158,article,266467
post_01511,19.54,0.77,149,article,456673
post_01512,76.32,0.45,142,video,455401
post_01513,46.5,0.75,141,poll,332342
post_01514,18.06,0.67,154,article,129248
post_01515,89.73,0.34,37,video,411294
post_01516,45.6,0.7,37,poll,91500
post_01517,81.41,0.19,149,poll,445282
post_01518,34.19,0.1,61,text,299201
post_01519,67.75,0.54,95,text,311013
post_01520,57.02,0.38,149,video,353318
post_01521,63.93,0.14,160,poll,265180
post_01522,66.85,0.22,127,image,260853
post_01523,102.29,0.35,62,video,405532
post_01524,45.09,0.49,84,text,377679
post_01525,79.93,0.05,137,image,309441
post_01526,53.23,0.25,73,poll,358998
post_01527,34.78,0.78,150,text,374167
post_01528,53.01,0.78,21,video,333420
post_01529,87.3,0.58,40,video,149246
post_01530,25.95,0.77,9,article,437991
post_01531,17.21,0.56,163,article,283030
post_01532,53.79,0.78,123,image,327996
post_01533,38.82,0.38,40,text,489282
post_01534,41.51,0.71,165,image,306092
post_01535,57.31,0.86,66,video,362110
post_01536,29.73,0.39,6,text,355057
post_01537,31.54,0.28,123,video,367926
post_01538,61.62,0.1,65,poll,141631
post_01539,69.01,0.56,82,image,31211
post_01540,34.56,0.67,86,image,136462
post_01541,12.54,0.3,61,article,358698
post_01542,61.89,0.86,43,text,304865
post_01543,35.8,0.19,21,image,424805
post_01544,72.81,0.25,158,text,117025
post_01545,65.83,0.3,63,poll,337213
post_01546,18.2,0.32,66,text,149795
post_01547,84.55,0.77,25,poll,165401
post_01548,55.79,0.35,124,article,126742
post_01549,71.22,0.95,85,text,387716
post_01550,48.8,0.14,168,image,376359
post_01551,86.34,0.39,82,text,84416
post_01552,16.11,0.14,133,text,270933
post_01553,54.26,0.17,81,article,288325
post_01554,31.09,0.22,94,video,318055
post_01555,67.19,0.99,56,article,87701
post_01556,42.76,0.89,87,poll,168360
post_01557,88.73,0.86,12,video,292004
post_01558,11.63,0.9,10,article,144031
post_01559,26.56,0.4,3,text,463928
post_01560,28.53,0.69,23,article,23006
post_01561,45.69,0.63,68,text,267875
post_01562,45.42,0.44,93,image,413036
post_01563,85.44,0.98,84,video,27077
post_01564,40.17,0.42,101,article,263470
post_01565,37.08,0.89,131,poll,143031
post_01566,31.14,0.84,135,image,175689
post_01567,29.04,0.14,142,text,255247
post_01568,16.16,0.38,82,article,15331
post_01569,54.7,0.67,154,text,394711
post_01570,44.52,0.36,82,article,104438
post_01571,57.74,0.51,128,video,307453
post_01572,14.93,0.15,144,image,250045
post_01573,77.21,0.96,164,image,171009
post_01574,35.27,0.13,3,article,175391
post_01575,30.68,0.42,60,article,222570
post_01576,54.53,0.11,28,text,59019
post_01577,85.75,0.51,155,poll,99932
post_01578,25.98,0.12,137,video,112394
post_01579,45.24,0.25,32,article,267063
post_01580,69.52,0.35,45,poll,314449
post_01581,72.89,0.35,71,image,174472
post_01582,15.24,0.56,93,article,249632
post_01583,64.14,0.9,4,image,347079
post_01584,55.6,0.5,94,article,332029
post_01585,50.1,0.48,140,poll,461253
post_01586,57.82,0.9,89,text,341432
post_01587,57.37,0.83,59,image,445348
post_01588,23.33,0.83,116,article,272721
post_01589,58.16,0.38,76,video,27630
post_01590,49.97,1,157,video,236609
post_01591,29.46,0.77,72,text,141476
post_01592,40.82,0.7,94,text,427337
post_01593,39.73,0.19,5,article,304832
post_01594,29.75,0.12,14,article,107998
post_01595,64.26,0.31,118,video,221674
post_01596,34.65,0.32,90,image,38979
post_01597,40.81,0.82,110,article,453908
post_01598,50.68,0.33,22,video,29328
post_01599,61.74,0.27,43,image,77477
post_01600,61.17,0.08,55,video,407747
post_01601,43.58,0.55,165,text,448852
post_01602,81.08,0.07,30,poll,39336
post_01603,44.75,0.19,112,image,123090
post_01604,23.98,0.66,128,text,305541
post_01605,13.53,0.17,33,text,438196
post_01606,73.38,0.77,159,video,181798
post_01607,43.8,0.19,89,image,365931
post_01608,43.37,0.45,11,article,154289
post_01609,75.35,0.35,46,video,17177
post_01610,72.29,0.19,62,image,130774
post_01611,81.81,0.45,97,poll,21969
post_01612,19.52,0.98,166,article,51693
post_01613,19.37,0.32,54,article,123245
post_01614,52.46,0.12,118,image,15008
post_01615,79.42,0.96,145,video,432178
post_01616,72.68,0.98,106,video,364495
post_01617,52.36,0.52,102,text,166419
post_01618,82.02,0.51,80,poll,139928
post_01619,93.4,0.44,121,video,473442
post_01620,44.25,0.61,41,text,74627
post_01621,62.44,0.1,141,article,338904
post_01622,68.21,0.77,147,poll,224941
post_01623,76.49,0.86,50,image,262876
post_01624,57.88,0.82,85,text,39087
post_01625,51.09,0.47,30,image,217956
post_01626,69.26,0.98,1,poll,298247
post_01627,80.71,0.6,86,poll,104933
post_01628,39.01,0.85,149,poll,384276
post_01629,48.96,0.14,162,poll,386265
post_01630,32,0.46,9,image,93826
post_01631,61.37,0.48,1,image,462692
post_01632,47.81,0.64,4,article,397735
post_01633,47.31,0.72,92,article,49303
post_01634,77.04,0.86,113,poll,399898
post_01635,33.57,0.47,47,video,172674
post_01636,64.51,0.7,3,video,369519
post_01637,45.13,0.28,133,poll,220603
post_01638,43.93,0.15,139,poll,234551
post_01639,74.57,0.11,89,image,174297
post_01640,35.53,0.54,82,article,405114
post_01641,72.45,0.41,76,poll,265881
post_01642,49.95,0.46,121,text,87835
post_01643,42.84,0.84,17,text,331906
post_01644,49.35,0.82,17,poll,12805
post_01645,31.51,0.72,142,text,168395
post_01646,49.99,0.89,144,image,208831
post_01647,17.14,0.84,98,image,484847
post_01648,23.69,0.97,16,video,406805
post_01649,43.13,0.05,111,article,428602
post_01650,53.25,0.19,138,text,52819
post_01651,57.27,0.33,56,video,373656
post_01652,31.91,0.32,50,video,313001
post_01653,59.24,0.38,165,article,178149
post_01654,36.31,0.66,44,article,226471
post_01655,81.47,0.51,63,poll,72463
post_01656,46.13,0.11,46,video,408811
post_01657,46.87,0.8,76,image,418687
post_01658,66.38,0.97,155,video,427558
post_01659,75.23,0.72,165,poll,233525
post_01660,64.42,0.35,87,poll,51201
post_01661,41.96,0.7,137,poll,360124
post_01662,23.37,0.4,96,article,387089
post_01663,65.62,0.8,66,text,277724
post_01664,56.51,0.92,138,poll,491268
post_01665,37.91,0.47,50,video,9691
post_01666,84.63,0.17,60,video,366416
post_01667,38.79,0.36,30,article,125706
post_01668,42.29,0.06,7,text,185808
post_01669,35.77,0.66,115,video,100511
post_01670,58.72,0.28,108,text,161576
post_01671,24.12,0.56,85,article,403961
post_01672,38.18,0.5,99,poll,361964
post_01673,54,0.28,56,text,486085
post_01674,90.38,0.83,165,video,32239
post_01675,32.23,0.11,34,text,367401
post_01676,19.57,0.33,71,article,125722
post_01677,33.93,0.25,113,video,231194
post_01678,96.2,0.78,138,video,309443
post_01679,81.97,0.23,152,image,351528
post_01680,76.17,0.69,131,article,462721
post_01681,85.23,0.75,36,poll,147927
post_01682,62.17,0.11,35,text,139510
post_01683,46.61,0.88,56,article,201788
post_01684,52.33,0.8,56,article,384655
post_01685,89.27,0.96,133,poll,33840
post_01686,44.47,0.7,43,text,7643
post_01687,47.57,0.87,108,text,381414
post_01688,42.69,0.27,15,text,123199
post_01689,68.8,0.6,100,image,15324
post_01690,64.24,0.46,8,poll,933
post_01691,28.04,0.07,102,article,319383
post_01692,61.08,0.58,131,video,360548
post_01693,44.14,0.65,10,text,368759
post_01694,57.11,0.72,50,poll,392829
post_01695,63.58,0.94,45,article,143619
post_01696,48.57,0.06,118,poll,381828
post_01697,50.37,0.19,87,article,353885
post_01698,32.06,0.49,21,video,136338
post_01699,46.58,0.3,154,text,426105
post_01700,64.27,0.59,55,video,60630
post_01701,66.25,0.24,11,video,432252
post_01702,53.31,0.23,115,article,387309
post_01703,51.41,0.49,97,article,289784
post_01704,26.52,0.3,87,image,309459
post_01705,20.71,0.07,139,article,368111
post_01706,46.16,0.4,109,image,39053
post_01707,22.31,0.62,142,video,44520
post_01708,47.25,0.5,149,image,104705
post_01709,74.4,0.92,151,image,260473
post_01710,75.37,0.25,81,poll,443995
post_01711,52.94,0.96,30,text,192381
post_01712,37.18,0.31,146,video,354949
post_01713,53.02,0.68,33,image,470555
post_01714,52.14,0.47,49,poll,266496
post_01715,61.17,0.53,29,poll,223700
post_01716,66.9,0.69,59,poll,476499
post_01717,82.82,0.46,157,image,307522
post_01718,81.57,0.49,97,video,432373
post_01719,37.37,0.45,71,article,5945
post_01720,86.54,0.13,0,poll,314874
post_01721,59.24,0.82,66,article,490795
post_01722,38.96,0.86,154,article,96080
post_01723,86.3,0.65,48,video,454057
post_01724,31.13,0.92,163,article,462879
post_01725,24.88,0.35,115,article,186999
post_01726,67.15,0.12,39,poll,325501
post_01727,51.99,0.68,166,article,204051
post_01728,75.02,0.98,57,video,386019
post_01729,71.07,0.25,19,poll,29259
post_01730,47.89,0.22,26,poll,327541
post_01731,71.46,0.23,79,poll,267210
post_01732,41.48,0.41,22,video,321921
post_01733,74.27,0.94,136,text,392653
post_01734,53.23,0.46,41,video,332539
post_01735,52.95,0.44,11,poll,343162
post_01736,76.86,0.35,80,text,286195
post_01737,80.1,0.31,32,video,175996
post_01738,24.24,0.9,142,video,491169
post_01739,51.9,0.61,93,article,398521
post_01740,42.76,0.18,46,poll,267191
post_01741,62.76,0.95,165,video,449970
post_01742,51.59,0.43,83,image,101561
post_01743,56.22,0.42,145,article,431532
post_01744,61.43,0.28,35,text,442028
post_01745,11.16,0.55,37,article,284487
post_01746,61.42,0.12,60,image,205637
post_01747,55.3,0.38,98,text,136603
post_01748,13.67,0.94,86,article,368960
post_01749,87.71,0.14,119,video,337028
post_01750,46.1,0.79,139,poll,143034
post_01751,17.72,0.2,164,article,451588
post_01752,79.68,0.4,144,poll,340572
post_01753,71.41,0.37,17,video,368261
post_01754,27.64,0.97,100,image,258879
post_01755,74.08,0.23,148,poll,484113
post_01756,75,0.78,140,image,399597
post_01757,48.04,0.78,97,poll,443333
post_01758,17.3,0.63,10,image,251995
post_01759,55.29,0.18,84,poll,274031
post_01760,76.94,0.55,15,text,451032
post_01761,63.19,0.11,164,video,106846
post_01762,28.94,0.35,118,image,419309
post_01763,38.6,0.35,100,video,61929
post_01764,52.73,0.27,141,poll,69345
post_01765,8.68,0.96,6,image,16206
post_01766,25.23,0.09,45,text,363214
post_01767,59.61,0.66,76,text,97808
post_01768,71.67,0.32,108,video,178345
post_01769,51.97,0.85,162,poll,85303
post_01770,70.54,0.46,141,video,226382
post_01771,56.07,0.79,156,article,328523
post_01772,101.36,0.89,94,video,251173
post_01773,50.65,0.3,152,article,479455
post_01774,10.32,0.35,74,article,430420
post_01775,51.37,0.86,63,image,275325
post_01776,46.76,0.89,80,article,301806
post_01777,60.87,0.58,78,image,427842
post_01778,33.6,0.45,36,text,485555
post_01779,34.99,0.64,34,text,494911
post_01780,38.73,0.44,140,article,113056
post_01781,41.21,0.12,15,image,51660
post_01782,94.82,0.09,6,video,55209
post_01783,44.83,0.38,122,image,354820
post_01784,57.59,0.89,17,image,4211
post_01785,33.84,0.56,168,text,304718
post_01786,42.55,0.98,73,video,127581
post_01787,84.63,0.46,144,poll,360754
post_01788,62.52,0.35,85,poll,278643
post_01789,65.28,0.11,22,poll,3502
post_01790,67.38,0.64,48,poll,191567
post_01791,66.51,0.28,149,image,64944
post_01792,20,0.45,14,article,88914
post_01793,61.23,0.52,6,poll,326855
post_01794,13.91,0.25,98,article,258257
post_01795,87.53,0.37,161,video,162459
post_01796,87.37,0.97,136,text,83358
post_01797,41.52,0.31,70,article,354929
post_01798,59.37,0.57,64,article,232932
post_01799,52.76,0.44,59,text,84700
post_01800,43.42,0.34,127,article,304873
post_01801,44.21,0.58,136,image,417996
post_01802,35.22,0.34,99,article,448455
post_01803,58.84,0.73,81,video,247441
post_01804,44.55,0.81,29,text,85872
post_01805,36.19,0.21,66,text,427778
post_01806,58.93,0.46,146,article,483001
post_01807,53.89,0.93,36,image,392107
post_01808,41.43,0.14,64,text,291967
post_01809,55.34,0.96,147,image,74494
post_01810,50.71,0.99,86,article,37491
post_01811,68.12,0.96,114,image,64691
post_01812,79.52,0.5,158,text,467
post_01813,82.65,0.81,48,video,429065
post_01814,54.11,0.85,14,article,485241
post_01815,48.76,0.69,158,poll,164570
post_01816,10.14,0.28,64,article,325963
post_01817,41.06,0.97,35,poll,143621
post_01818,71.05,0.83,20,image,125536
post_01819,74.62,0.12,82,image,22655
post_01820,46.34,0.07,90,poll,130860
post_01821,59.58,0.92,60,image,441625
post_01822,47.1,0.88,66,poll,156288
post_01823,74.89,0.52,53,poll,429968
post_01824,47.82,0.49,129,text,381223
post_01825,16.9,0.24,145,article,473917
post_01826,46.04,0.9,133,text,415372
post_01827,55.67,0.79,148,article,271974
post_01828,32.09,0.62,129,video,302976
post_01829,50.56,0.96,140,video,175854
post_01830,56.86,0.06,159,image,29643
post_01831,60.08,0.23,55,image,419096
post_01832,42.62,0.98,136,poll,17992
post_01833,60.08,0.1,61,image,214412
post_01834,86.34,0.15,154,video,58513
post_01835,55.44,0.62,6,poll,89253
post_01836,18.5,0.39,161,text,243181
post_01837,56.62,0.73,52,poll,161490
post_01838,51.3,0.3,72,article,431451
post_01839,64.91,0.61,133,poll,80005
post_01840,55.99,0.79,92,text,290702
post_01841,35.15,0.34,20,poll,182889
post_01842,78.65,0.95,164,video,283785
post_01843,20,0.73,117,text,288285
post_01844,54.92,0.7,95,poll,195148
post_01845,59.42,0.89,28,video,274575
post_01846,47.78,0.38,61,article,52624
post_01847,24.72,0.17,108,text,144989
post_01848,21.9,0.05,14,text,23104
post_01849,63.64,0.4,23,poll,476925
post_01850,54.68,0.66,28,image,393502
post_01851,44.99,0.43,101,text,60765
post_01852,13.56,0.82,24,image,471469
post_01853,69.47,0.5,89,text,88836
post_01854,67.66,0.55,140,text,338599
post_01855,73.7,0.35,42,video,292062
post_01856,6.77,0.8,79,text,105827
post_01857,26.37,0.18,162,image,382813
post_01858,70.44,0.5,73,video,285344
post_01859,54.34,0.33,11,video,116870
post_01860,29.24,0.78,46,article,475507
post_01861,66.33,0.84,83,image,350271
post_01862,86.68,0.16,106,poll,371921
post_01863,33.91,0.24,62,text,42457
post_01864,44.41,0.35,57,poll,51819
post_01865,53.78,0.95,159,poll,148426
post_01866,29.6,0.97,110,video,451003
post_01867,20.79,0.71,57,image,214528
post_01868,42.1,0.78,60,text,225481
post_01869,38.22,0.97,94,article,27445
post_01870,64.3,0.41,142,poll,327884
post_01871,79.59,0.34,132,video,372888
post_01872,83.52,0.24,87,poll,154708
post_01873,65.45,0.57,21,video,96835
post_01874,69.48,0.58,1,image,424724
post_01875,59.36,0.83,151,poll,345277
post_01876,33.89,0.68,168,image,296933
post_01877,29.13,0.59,131,article,414542
post_01878,8.88,0.72,35,article,409410
post_01879,50.22,0.63,139,text,16119
post_01880,80.54,0.71,10,video,422822
post_01881,83.95,0.36,0,poll,346408
post_01882,57.27,0.54,111,poll,159749
post_01883,52.22,0.26,95,poll,10523
post_01884,89.18,0.08,140,video,223550
post_01885,64.49,0.95,130,article,56330
post_01886,46.14,0.82,83,image,27551
post_01887,15.06,0.22,83,image,245349
post_01888,63.91,0.81,87,video,351513
post_01889,49.78,0.82,42,article,65845
post_01890,65.41,0.24,123,poll,53965
post_01891,41.06,0.65,125,text,470432
post_01892,54.39,0.57,50,image,154138
post_01893,62.75,0.93,97,poll,382599
post_01894,76.22,0.58,152,video,266604
post_01895,58.28,0.34,69,article,342036
post_01896,79.84,0.76,90,video,364946
post_01897,44.35,0.66,118,text,493963
post_01898,40.53,0.57,110,image,258021
post_01899,26.32,0.64,89,video,328868
post_01900,24.34,0.64,57,article,243791
post_01901,52.56,0.9,106,video,359215
post_01902,64.7,0.65,68,text,151076
post_01903,35.01,0.2,159,image,6981
post_01904,19.79,0.62,106,image,176158
post_01905,25.34,0.27,105,article,245139
post_01906,22.8,0.42,138,image,156171
post_01907,15.4,0.62,82,text,437276
post_01908,60.25,0.23,107,poll,98376
post_01909,78.84,0.93,131,poll,444713
post_01910,14.99,0.94,22,article,227659
post_01911,92.32,0.18,144,video,228361
post_01912,53.09,0.28,39,image,221513
post_01913,45.45,0.24,18,poll,420353
post_01914,53.77,0.71,93,video,73327
post_01915,70.79,0.27,51,text,245488
post_01916,62.01,0.26,75,text,26167
post_01917,42.5,0.13,13,poll,354865
post_01918,22.11,0.12,111,article,410640
post_01919,55.24,0.71,91,text,347182
post_01920,55.35,0.99,103,article,193851
post_01921,78.75,0.09,154,video,362
post_01922,43.96,0.38,24,image,63774
post_01923,56.14,0.35,113,article,321347
post_01924,40.67,0.16,5,image,454487
post_01925,8.46,0.92,163,article,129417
post_01926,55.52,0.86,129,poll,369661
post_01927,53.15,0.85,58,video,398261
post_01928,76.51,0.83,5,image,332126
post_01929,53.67,0.35,19,poll,393241
post_01930,29.85,0.75,82,text,430430
post_01931,85.34,0.13,131,video,477851
post_01932,54.29,0.56,16,video,338921
post_01933,36.31,0.47,165,text,425899
post_01934,21.66,0.79,1,image,169872
post_01935,33.32,0.15,71,image,260258
post_01936,70.49,0.39,103,image,203602
post_01937,16.92,0.8,34,image,216695
post_01938,5.16,0.65,163,text,118804
post_01939,54.6,0.09,78,video,375984
post_01940,77.62,0.77,157,video,165114
post_01941,34.02,0.27,133,article,431260
post_01942,32.74,0.07,62,article,254136
post_01943,74.6,0.9,139,text,442951
post_01944,51.29,0.73,52,video,43404
post_01945,78.86,0.11,99,poll,319883
post_01946,73.9,0.84,133,article,117444
post_01947,37.87,0.09,104,video,395131
post_01948,78.58,0.22,145,poll,51523
post_01949,77.37,0.18,69,text,381102
post_01950,73.13,0.99,12,poll,176177
post_01951,17.06,0.2,130,text,280845
post_01952,48.02,0.63,6,video,339485
post_01953,53.4,0.07,148,poll,134312
post_01954,69.39,0.32,133,text,341894
post_01955,56.71,0.18,71,video,50277
post_01956,48.07,0.25,52,article,262728
post_01957,65.98,0.7,29,poll,73651
post_01958,49.68,0.06,89,text,325027
post_01959,92.08,0.64,70,video,168257
