fan_id,match_attendance,merchandise_spend,social_engagement_score,streaming_hours,fantasy_spend,loyalty_index
fan_00476,6,24396.93,0.85,30.14,1060.43,0.83
fan_00477,2,25510.93,0.47,20.58,932.8,0.89
fan_00478,1,978.51,0.11,8.98,313.68,0.32
fan_00479,5,34198.56,0.49,26.98,1316.03,0.74
fan_00480,0,55.16,0.2,22.09,333.41,0.24
fan_00481,0,1052.54,0.7,57.37,14451.46,0.4
fan_00482,1,2465.55,0.63,69.55,12009.33,0.36
fan_00483,1,505.17,0.72,68.5,28121.33,0.25
fan_00484,10,18030.97,0.53,24.37,612.23,1
fan_00485,1,995.42,0.57,64.66,36972.13,0.51
fan_00486,13,14291.31,0.89,48.77,4230.38,0.92
fan_00487,0,1453.99,0.76,62.13,6078.52,0.68
fan_00488,2,992.01,0.83,70.11,7360.45,0.58
fan_00489,0,672,0.5,72.01,10999.17,0.43
fan_00490,1,250.34,0.81,53.27,14538.5,0.6
fan_00491,9,9431.01,0.58,57.32,3142.18,0.99
fan_00492,8,12184.37,0.68,25.91,4050.51,0.91
fan_00493,2,212.65,0.12,19.67,253.97,0.26
fan_00494,3,1494.83,0.67,44.83,22632.79,0.59
fan_00495,3,36622.22,0.48,47.87,815.91,0.99
fan_00496,1,1872.62,0.6,55.09,6827.76,0.3
fan_00497,1,526.83,0.88,97.41,3903.24,0.5
fan_00498,14,18454.31,0.72,30.46,1567.95,0.96
fan_00499,1,1792.43,0.75,62.21,7880.96,0.42
fan_00500,5,36055.06,0.3,32.39,196.97,0.82
fan_00501,14,13721.05,0.56,37.93,3662.9,0.84
fan_00502,2,34517.87,0.38,17.23,1741.54,0.81
fan_00503,12,22925.14,0.56,37.16,1969.56,1
fan_00504,1,987.62,0.7,66.3,36484.57,0.46
fan_00505,1,1610.79,0.99,100.88,10197.28,0.38
fan_00506,1,1998.48,0.76,35.13,41588.25,0.37
fan_00507,3,34838.68,0.46,49.27,1672.8,0.93
fan_00508,0,137.95,0.63,83.51,5098.16,0.32
fan_00509,1,1203.5,0.82,75.06,3675.76,0.55
fan_00510,1,502.37,0.16,21.43,455.3,0.25
fan_00511,1,954.94,0.23,5.04,0.36,0.13
fan_00512,1,687.36,0.72,101.06,14734.72,0.35
fan_00513,0,2288.05,0.63,67.5,49484.45,0.43
fan_00514,0,1084.5,0.88,116.52,11796.43,0.43
fan_00515,0,2537.93,0.49,75.23,46486.67,0.25
fan_00516,3,2498.17,0.48,78.25,12919.6,0.55
fan_00517,4,17604.09,0.5,19.36,462.47,0.93
fan_00518,7,24138.87,0.85,20.97,3523.18,0.89
fan_00519,0,1084.14,0.67,36.02,30493.26,0.56
fan_00520,1,1152.64,0.59,32.56,14684.34,0.36
fan_00521,1,575.24,0.82,48.81,13326.69,0.58
fan_00522,6,34002.04,0.67,40.9,605.92,0.96
fan_00523,2,34025.95,0.59,49.9,836.41,0.79
fan_00524,7,23802.43,0.88,55.69,3901.53,0.84
fan_00525,0,1205.18,1,76.62,5385.49,0.54
fan_00526,0,1734.1,0.63,100.45,10993.58,0.7
fan_00527,3,1797.79,0.83,37.67,22781.83,0.56
fan_00528,1,1800.76,0.69,57.01,12008.19,0.64
fan_00529,1,259.11,0.17,24.88,133.26,0.21
fan_00530,5,33123.02,0.43,34.76,535.43,0.97
fan_00531,4,39505.29,0.41,33.85,1385.84,0.87
fan_00532,0,450.6,0.22,28.25,294.31,0.26
fan_00533,6,17797.36,0.37,20.52,1488.83,0.74
fan_00534,0,881.95,0.51,73.11,28538.24,0.45
fan_00535,0,372.46,0.2,6.56,60.95,0.18
fan_00536,0,724.41,0.67,64.7,3228.6,0.33
fan_00537,3,19120.13,0.61,44.21,793.88,0.71
fan_00538,2,334.3,0.16,9.75,382.2,0.23
fan_00539,4,22679.08,0.34,38.84,1630.76,0.8
fan_00540,11,20962.08,0.66,20.21,1011.88,0.84
fan_00541,2,867.71,0.24,11.65,409.31,0.13
fan_00542,0,673.22,0.67,41.1,2272.84,0.52
fan_00543,11,13680.18,0.52,47.15,1603.74,0.98
fan_00544,14,7496.93,0.73,54.05,4040.46,0.92
fan_00545,2,911.51,0.52,60.5,47627.54,0.45
fan_00546,3,2683.54,0.6,51.71,41400.69,0.5
fan_00547,0,22.39,0.07,13.08,295.59,0.15
fan_00548,0,1732.39,0.71,80.61,6400.95,0.69
fan_00549,1,1539.25,0.79,69.29,8539.91,0.38
fan_00550,10,7573.69,0.52,42.9,4612.98,0.99
fan_00551,1,2141.48,0.51,45.54,43922.67,0.23
fan_00552,1,2524.04,0.4,53.67,43750.21,0.32
fan_00553,2,200.71,0.11,5.2,126.05,0.11
fan_00554,0,950.07,0.69,115.68,13243.82,0.31
fan_00555,13,6651.55,0.54,36.68,2719.58,0.87
fan_00556,4,39895.35,0.58,16.66,1485.03,0.84
fan_00557,2,1971.82,0.61,74.48,11183.47,0.47
fan_00558,0,1671.7,0.64,78.23,13714.83,0.5
fan_00559,0,1116.17,0.67,78.77,7581.01,0.33
fan_00560,3,1070.77,0.81,45.48,45064.91,0.49
fan_00561,1,2693.32,0.83,68.29,18335.27,0.29
fan_00562,0,312.15,0.12,21.45,328.96,0.1
fan_00563,0,693.58,0.3,24.05,361.1,0.12
fan_00564,6,25783.21,0.5,38.9,1811.98,0.74
fan_00565,13,8938.72,0.57,22.32,726.52,0.81
fan_00566,9,11902.51,0.87,26.58,4562.67,0.89
fan_00567,1,1961.45,0.97,96.55,8904.17,0.3
fan_00568,12,15263.41,0.72,45.17,4968.57,0.87
fan_00569,14,13217,0.85,39.77,2843.28,0.96
fan_00570,1,99.22,0.64,65.1,14821.11,0.45
fan_00571,1,626.62,0.29,24.18,154.03,0.38
fan_00572,1,145.45,0.71,83.06,5147.02,0.67
fan_00573,0,810.19,0.69,100.14,6750.7,0.63
fan_00574,2,890.54,0.2,12.87,312.66,0.13
fan_00575,2,784.13,0.13,8.58,172.86,0.33
fan_00576,0,926.89,0.89,53.97,7299.91,0.41
fan_00577,0,1214.34,0.7,114.41,13876.41,0.46
fan_00578,14,22918.85,0.78,45.99,1045.39,0.9
fan_00579,2,654.65,0.19,24.81,349.18,0.34
fan_00580,4,26223.53,0.41,48.62,614.54,0.73
fan_00581,9,9345.75,0.88,31.54,2009.24,0.95
fan_00582,0,318.91,0.1,9.91,229.5,0.3
fan_00583,8,8578.97,0.73,56.92,1920.21,0.9
fan_00584,1,1741.88,0.76,80.59,2463.51,0.41
fan_00585,2,2091.55,0.4,49.2,9138.38,0.41
fan_00586,10,22583.83,0.66,20.67,2415.48,0.84
fan_00587,3,13357.34,0.63,28.13,1184.13,0.81
fan_00588,6,26477.9,0.57,24.57,342.7,0.85
fan_00589,4,21616.61,0.42,33.36,1204.5,0.7
fan_00590,2,20769.33,0.44,22.27,1837.15,0.86
fan_00591,2,612.33,0.07,6.44,334.85,0.17
fan_00592,3,27853.6,0.51,37.03,416.69,0.95
fan_00593,2,573.98,0.24,15.89,118.23,0.29
fan_00594,2,16048.99,0.54,42.93,1791.37,0.85
fan_00595,0,995.4,0.29,18.61,128.67,0.39
fan_00596,12,9555.11,0.52,26.96,2792.29,0.82
fan_00597,1,765.67,0.1,18.3,148.46,0.15
fan_00598,2,495.84,0.07,12.26,293.73,0.35
fan_00599,2,930.41,0.1,18.05,191.2,0.17
fan_00600,14,19110,0.56,35.19,3858.17,0.86
fan_00601,1,564.34,1,80.99,6545.5,0.63
fan_00602,1,1745.54,0.42,32.67,11224.3,0.4
fan_00603,2,1481.75,0.57,77.47,21708.46,0.21
fan_00604,0,193.27,0.13,14.4,107.41,0.3
fan_00605,6,37230.84,0.53,24.45,655.44,0.84
fan_00606,1,1886.83,0.5,57.28,29220.78,0.54
fan_00607,9,21571.56,0.58,49.3,4147.5,0.96
fan_00608,7,13300.32,0.65,28.88,3627.58,0.93
fan_00609,0,2632.84,0.6,51.8,33719.12,0.3
fan_00610,11,14555.15,0.68,41.56,2981.63,0.99
fan_00611,0,1237.3,0.85,91.55,9187.81,0.63
fan_00612,5,30867.97,0.6,43.37,648.93,0.77
fan_00613,0,1262.66,0.69,78.58,14626.93,0.63
fan_00614,13,18682.97,0.51,43.47,4586.2,0.81
fan_00615,0,2016.17,0.63,52.72,8474.25,0.41
fan_00616,0,1438.22,0.93,116.04,4057.48,0.58
fan_00617,14,19795.4,0.69,43.96,1552.84,0.93
fan_00618,5,17124.25,0.39,15.46,1560.34,0.93
fan_00619,1,175.09,0.93,78.57,4122.7,0.45
fan_00620,11,7455.74,0.65,37.71,4094.25,0.9
fan_00621,1,766.93,0.94,113.72,14076.38,0.46
fan_00622,1,1211.5,0.61,96.17,3339.66,0.49
fan_00623,2,648.26,0.07,9.12,317.58,0.33
fan_00624,1,1752.87,0.83,45.81,1001.55,0.42
fan_00625,10,6985.46,0.76,32.47,4609.65,0.98
fan_00626,4,23742.21,0.38,44.38,652.66,0.87
fan_00627,8,19577.38,0.82,45.81,965.93,0.88
fan_00628,3,28997.31,0.41,42.26,470.57,0.92
fan_00629,2,721.16,0.16,15.3,477.57,0.22
fan_00630,9,20621.46,0.75,43.41,4142.28,0.81
fan_00631,4,8478.66,0.6,22.77,1021.83,0.89
fan_00632,0,198.82,0.19,19.23,496.32,0.13
fan_00633,11,5165.69,0.7,29.86,2297.68,0.98
fan_00634,3,2153.89,0.81,60.97,8317.42,0.49
fan_00635,2,2282.23,0.42,79.89,29289.52,0.4
fan_00636,6,13072.35,0.69,48.9,1559.06,0.94
fan_00637,2,15939.1,0.61,18.48,1475.95,0.88
fan_00638,3,1771.63,0.44,55.31,24931.32,0.27
fan_00639,1,2482.96,0.57,48.97,6492.14,0.43
fan_00640,0,1141.02,0.88,40.03,1608.86,0.62
fan_00641,2,205.18,0.24,10.32,262.01,0.26
fan_00642,6,28438.68,0.51,18.11,827.44,0.71
fan_00643,2,33415.29,0.46,49.95,746.83,0.91
fan_00644,1,783.2,0.67,109.25,10878.27,0.57
fan_00645,12,8451.58,0.58,56.35,1407.47,0.84
fan_00646,6,21095.96,0.38,26.19,716.72,0.8
fan_00647,1,1426.56,0.74,45.07,20442.35,0.34
fan_00648,0,2802.29,0.47,61.66,49556.61,0.56
fan_00649,1,552.78,0.15,27.09,424.46,0.35
fan_00650,0,1440.18,0.84,72.61,35728.75,0.35
fan_00651,0,991.34,0.28,21.75,363.09,0.24
fan_00652,6,34527.56,0.41,46.67,13.96,0.98
fan_00653,2,1430.74,0.44,69.06,10385.41,0.45
fan_00654,0,875.02,0.08,24.88,11.7,0.19
fan_00655,2,832.05,0.1,28.81,18.18,0.15
fan_00656,1,1611.72,0.99,108.65,4018.01,0.63
fan_00657,0,1719.02,0.47,51.13,40610.46,0.22
fan_00658,0,136.84,0.1,25.22,179.01,0.15
fan_00659,9,8179.57,0.73,44.08,4972.39,0.83
fan_00660,14,16703.32,0.67,55.91,4165.05,0.81
fan_00661,0,926.53,0.95,79.83,7657,0.35
fan_00662,1,1571.83,0.82,95.1,1734.6,0.64
fan_00663,1,1700.93,0.71,56.89,2999.84,0.58
fan_00664,5,31690.99,0.64,28.67,1273.96,0.94
fan_00665,1,107.65,0.14,17.09,91.73,0.31
fan_00666,7,22553.19,0.62,51.2,1595.44,0.83
fan_00667,1,976.95,0.28,21.13,420.4,0.24
fan_00668,9,6044.6,0.65,44.04,4288.79,0.95
fan_00669,0,1436.82,0.62,60.75,11534.63,0.59
fan_00670,1,1575.98,0.64,65.19,19756.36,0.38
fan_00671,2,19320.55,0.48,23.87,923.11,0.78
fan_00672,0,1024.75,0.51,45.67,40964.14,0.5
fan_00673,9,16447.17,0.73,50.85,2852.26,0.91
fan_00674,1,442.15,0.05,6,301.2,0.35
fan_00675,5,36912.37,0.43,31.24,1989.36,0.98
fan_00676,0,761.4,0.13,26.36,175.2,0.19
fan_00677,12,9319.41,0.58,26,3780.17,0.95
fan_00678,8,11482.31,0.77,50.2,3575.71,0.99
fan_00679,2,23349.39,0.64,29.57,1149.15,0.99
fan_00680,0,1034.26,0.96,74.2,9995.85,0.7
fan_00681,2,11019.38,0.31,32.79,143.19,0.86
fan_00682,1,1972.6,0.9,81.6,6423.42,0.37
fan_00683,2,579.75,0.26,13.43,154.22,0.39
fan_00684,1,906.94,0.84,72.23,1269.17,0.45
fan_00685,0,1340.91,0.94,82.42,12108.45,0.48
fan_00686,1,1535.07,0.64,44.03,32359.85,0.3
fan_00687,5,33168.99,0.36,20.59,700.17,0.79
fan_00688,2,29.52,0.07,19,498.2,0.18
fan_00689,5,31138.13,0.57,34.6,1110.41,0.84
fan_00690,0,1643.05,0.79,107.17,7558.82,0.63
fan_00691,1,1092.17,0.77,87.49,12149.42,0.68
fan_00692,2,552.97,0.47,56.01,7055.19,0.42
fan_00693,10,19888.57,0.7,35.48,1265.71,0.98
fan_00694,1,686.78,0.74,72.71,3234.88,0.69
fan_00695,11,11575.07,0.51,20.93,4886.62,0.9
fan_00696,0,1373.99,0.81,51.6,7633.26,0.55
fan_00697,2,31038.17,0.42,18.13,1185.61,0.73
fan_00698,8,14268.27,0.75,54.75,2233.62,0.96
fan_00699,0,989.17,0.99,109.78,13331.71,0.65
fan_00700,2,440.63,0.14,7.73,472.71,0.32
fan_00701,2,1566.65,0.61,42.84,5790.82,0.44
fan_00702,2,695.32,0.27,21.2,327.55,0.11
fan_00703,1,1314.21,0.83,62.63,9730.76,0.22
fan_00704,2,798.6,0.08,24.57,181.32,0.39
fan_00705,1,1063.18,0.94,85.48,6512.95,0.37
fan_00706,2,1090.5,0.61,66.92,25062.82,0.21
fan_00707,2,33901.7,0.4,15.89,60.31,0.82
fan_00708,14,22065.31,0.73,28.74,3845.67,0.84
fan_00709,0,1671.79,0.81,109.54,12887.68,0.41
fan_00710,1,1719.8,0.79,78.48,10388.05,0.33
fan_00711,12,11372.34,0.85,50.24,3168.08,0.97
fan_00712,13,10384.92,0.55,51.1,2985.61,0.83
fan_00713,3,36768.99,0.52,21.5,1616.1,0.98
fan_00714,1,1268.31,0.74,51.32,8534.36,0.47
fan_00715,0,635.01,0.66,97.12,3615.56,0.63
fan_00716,4,11902.75,0.6,45.02,1286.32,0.72
fan_00717,0,865.29,0.55,59.54,44687.93,0.29
fan_00718,13,8463.11,0.52,20.77,3147.45,1
fan_00719,2,483.03,0.12,17.18,224.01,0.26
fan_00720,0,1754.22,0.97,93,5802.46,0.58
fan_00721,2,113.71,0.16,22.73,220.59,0.17
fan_00722,0,1493.25,0.64,79.69,23626.34,0.41
fan_00723,13,15915.64,0.77,46.25,3086.79,0.88
fan_00724,0,1203.67,0.45,33,33030.65,0.51
fan_00725,6,24622.77,0.45,23.51,714.6,0.73
fan_00726,2,31483.39,0.58,19.92,755.09,0.81
fan_00727,2,176.86,0.12,6.02,231.21,0.23
fan_00728,13,18144.9,0.53,38.54,3762.48,0.93
fan_00729,2,20708.65,0.56,47.71,1999.89,0.91
fan_00730,4,13680.78,0.31,34.11,494.32,0.73
fan_00731,1,657,0.12,26.7,172.55,0.36
fan_00732,1,1352.78,0.75,43.14,2342.4,0.31
fan_00733,12,23076.74,0.87,31.04,2817.33,0.92
fan_00734,11,5663.4,0.82,45.39,1193.76,0.9
fan_00735,0,876.54,0.28,27.63,440.46,0.37
fan_00736,11,16834.95,0.51,40.65,524.45,0.98
fan_00737,0,1317.94,0.65,110.07,7299.32,0.34
fan_00738,2,27188.13,0.38,41.08,805.88,0.85
fan_00739,5,10646,0.59,28.8,1641.75,0.7
fan_00740,11,7154.26,0.57,35.16,4209.13,0.81
fan_00741,1,1021.17,0.77,40.09,6225.91,0.64
fan_00742,1,736.48,0.1,17.07,2.28,0.23
fan_00743,6,12391.03,0.36,27.39,1788.87,0.84
fan_00744,9,15490.12,0.83,56.81,2746.76,0.95
fan_00745,6,17758.94,0.63,57.03,4732.33,0.85
fan_00746,2,510.13,0.06,16,493.37,0.38
fan_00747,0,192.47,0.08,11.24,419.31,0.28
fan_00748,6,25503.42,0.32,23.98,749.15,0.98
fan_00749,2,289.1,0.21,6.72,424.75,0.29
fan_00750,3,2489.23,0.41,42.67,16182.91,0.6
fan_00751,0,1712.22,0.63,81.32,2529.41,0.61
fan_00752,13,6847.66,0.57,23.75,818.09,0.83
fan_00753,1,1588.88,0.57,60.79,25139.79,0.37
fan_00754,0,431.62,0.07,13.89,56.92,0.11
fan_00755,3,1402.13,0.62,74.77,37903.89,0.32
fan_00756,0,462.71,0.72,54.62,12924.54,0.48
fan_00757,0,914.86,0.25,27.57,69.74,0.17
fan_00758,1,847.29,0.74,61.25,20033.59,0.28
fan_00759,2,1794.95,0.59,31.6,22243.24,0.39
fan_00760,0,2108.16,0.77,39.76,23289.02,0.46
fan_00761,2,22436.74,0.54,40.8,1135.67,0.76
fan_00762,3,817.94,0.83,35.07,14120.29,0.31
fan_00763,1,1.78,0.17,6.24,145.72,0.33
fan_00764,1,1778.65,0.8,49.12,7072.91,0.41
fan_00765,2,2915.24,0.72,39.67,31097.36,0.59
fan_00766,14,15436.38,0.85,50.09,4330.51,0.89
fan_00767,6,16804.61,0.49,22.3,1782.05,0.77
fan_00768,0,698.08,0.21,17.13,440.43,0.16
fan_00769,2,657.57,0.19,16.64,28.89,0.26
fan_00770,14,10841.6,0.53,25.57,1024.6,0.91
fan_00771,12,19717.43,0.58,35.09,2371.77,0.84
fan_00772,13,15321.02,0.52,51.27,1741.64,0.94
fan_00773,2,31598.65,0.47,33.3,417.35,0.75
fan_00774,6,9083.69,0.76,39.58,4529,0.87
fan_00775,0,541.43,0.29,22.16,457.49,0.1
fan_00776,1,2928.3,0.62,40.81,40466.21,0.22
fan_00777,1,626.23,0.91,58.7,8558.73,0.51
fan_00778,4,34360.43,0.65,40.34,1272.6,0.9
fan_00779,11,5975.88,0.83,51.79,4012.51,0.95
fan_00780,2,1119.78,0.66,78.36,43083.19,0.44
fan_00781,10,14885.02,0.67,23.54,1115.74,0.81
fan_00782,1,992.58,0.12,9.94,491.83,0.38
fan_00783,1,894.32,0.09,12.36,201.54,0.17
fan_00784,3,1899.22,0.52,52.75,25050.77,0.5
fan_00785,5,22996.07,0.41,21.5,109.23,0.97
fan_00786,1,2704.05,0.67,70.5,16674.14,0.29
fan_00787,3,20581.3,0.69,48.51,1421.17,0.91
fan_00788,9,13662.47,0.84,46.58,919.82,0.82
fan_00789,2,151.25,0.06,20.66,472.92,0.22
fan_00790,14,16789.43,0.82,47.04,4874.69,0.94
fan_00791,3,18021.73,0.45,44.34,1459.03,0.97
fan_00792,6,31482.04,0.42,40.78,1969.78,0.74
fan_00793,5,18566.08,0.4,37.8,1762.04,0.9
fan_00794,0,414.2,0.14,24.37,68.8,0.23
fan_00795,0,1526.78,0.81,116.66,4373.4,0.68
fan_00796,3,11906.21,0.42,35.13,1077.14,1
fan_00797,1,2576.99,0.81,55.13,24174.75,0.43
fan_00798,2,399.11,0.09,18.52,172.3,0.36
fan_00799,2,862.5,0.12,21.87,244.03,0.38
fan_00800,2,2406.35,0.8,45.27,16152.68,0.53
fan_00801,1,1494.23,0.68,44.61,13001.36,0.58
fan_00802,11,7262.17,0.57,58.72,2178.51,0.92
fan_00803,0,235.66,0.15,6.2,50.28,0.17
fan_00804,1,258.74,0.99,62.89,13167.11,0.54
fan_00805,1,1848.92,0.46,77.25,35973.3,0.32
fan_00806,4,13893.16,0.51,17.97,423.97,1
fan_00807,10,22515.73,0.74,28.8,3459.71,0.98
fan_00808,5,29102.4,0.5,32.14,1433.88,0.87
fan_00809,6,37116.29,0.57,44.88,1993.56,0.83
fan_00810,3,2788,0.78,50.44,39787.36,0.32
fan_00811,12,17822.73,0.64,54.06,1579.25,0.85
fan_00812,0,501.24,0.92,51.52,6807.99,0.65
fan_00813,0,1138.8,0.77,55.49,10966.46,0.33
fan_00814,5,39886.22,0.69,49.18,1133.23,0.82
fan_00815,0,828.95,0.69,75.15,8867.08,0.51
fan_00816,0,1723.99,0.87,59.08,10978.7,0.56
fan_00817,1,1191.5,0.69,38.53,39873.75,0.42
fan_00818,3,1477.16,0.73,35.14,48072.26,0.33
fan_00819,3,1896.57,0.46,54.21,17543.96,0.39
fan_00820,2,534.26,0.25,9.45,208.66,0.21
fan_00821,6,15810.72,0.84,46.43,4155.92,0.88
fan_00822,2,541.64,0.23,11.72,106.97,0.34
fan_00823,0,200.55,0.26,17.48,172.52,0.28
fan_00824,2,438.63,0.13,16.48,290.07,0.11
fan_00825,0,2827.47,0.84,39.29,20113.87,0.55
fan_00826,1,1493.01,0.91,56.29,11968.68,0.46
fan_00827,0,1401.55,0.95,119.9,5791.93,0.38
fan_00828,4,38971.14,0.67,28.78,192.68,0.73
fan_00829,3,1839.85,0.83,60.16,9290.21,0.38
fan_00830,3,1952.31,0.71,55.03,28337.64,0.33
fan_00831,1,1822.39,0.91,43.62,1713.65,0.43
fan_00832,10,13363.18,0.85,46.92,3076.97,0.95
fan_00833,14,8168.73,0.8,26,1395.57,0.85
fan_00834,6,24006.58,0.63,18.91,1432.51,0.74
fan_00835,0,759.97,0.17,29.46,98.31,0.15
fan_00836,1,2378.18,0.68,63.71,30617,0.37
fan_00837,2,25056.85,0.32,37.4,791.56,0.75
fan_00838,6,20458.57,0.85,27.15,1678.17,0.91
fan_00839,2,826.95,0.16,25.23,123.71,0.22
fan_00840,0,475.64,0.27,22.56,17.92,0.25
fan_00841,2,2965.65,0.6,36.84,31162.07,0.44
fan_00842,6,14311.76,0.75,47.78,1604.91,0.95
fan_00843,1,1012.87,0.8,50.98,5511.06,0.51
fan_00844,0,1865.55,0.7,35.93,41702.95,0.59
fan_00845,5,30102.93,0.52,35.36,93.61,0.72
fan_00846,12,8393.83,0.78,33.54,4863.84,0.85
fan_00847,5,33430.8,0.59,34.97,1509.26,0.87
fan_00848,10,17058.63,0.59,35.57,3659.71,0.94
fan_00849,5,20024.18,0.59,45.54,1450.37,0.83
fan_00850,1,1749.64,0.65,78.2,1255.44,0.46
fan_00851,1,2696.4,0.7,54.06,21906.32,0.38
fan_00852,1,2771.52,0.8,50.31,9319.65,0.51
fan_00853,0,682.46,0.23,21.43,101.93,0.36
fan_00854,1,1553.1,0.84,116.02,12399.03,0.54
fan_00855,1,797.68,0.3,18.05,423.73,0.39
fan_00856,1,195.64,0.22,18,356.74,0.11
fan_00857,6,27520.36,0.54,35.41,989.92,0.79
fan_00858,6,15202.97,0.72,55.83,593.91,0.82
fan_00859,1,198.55,0.23,12.35,307.81,0.1
fan_00860,1,936.81,0.12,12.19,108.19,0.29
fan_00861,0,125.18,0.83,40.88,13552.28,0.48
fan_00862,1,721.2,0.79,77.89,22105.11,0.21
fan_00863,3,2680.88,0.73,75.85,9123.52,0.29
fan_00864,0,1699.65,0.59,66.15,46929.3,0.36
fan_00865,9,12291.16,0.69,53.11,3656.56,0.84
fan_00866,7,6008.72,0.8,59.8,2711.17,0.92
fan_00867,4,26422.6,0.41,46.03,1406.92,0.99
fan_00868,1,732.19,0.87,113.92,13954.07,0.6
fan_00869,0,293.43,0.13,5.59,306.54,0.17
fan_00870,2,33049.89,0.66,18.22,263.68,0.86
fan_00871,11,11916.1,0.69,59.53,779.81,0.82
fan_00872,1,1192.81,0.77,115.03,4956.06,0.61
fan_00873,0,451.37,0.83,85.85,1816.5,0.33
fan_00874,0,1761.57,0.73,60.94,3293.89,0.32
fan_00875,5,8353.8,0.56,25.62,223.29,0.85
fan_00876,2,2475.7,0.48,30.49,40802.44,0.32
fan_00877,3,919.94,0.75,34.02,13499.14,0.25
fan_00878,11,23101.4,0.51,23.75,4142.81,1
fan_00879,3,22617.24,0.33,47.6,1103.31,0.75
fan_00880,1,709.75,0.8,52.28,9773.34,0.35
fan_00881,2,125.23,0.15,7.03,11.44,0.36
fan_00882,0,1394.67,0.66,85.04,12135.13,0.5
fan_00883,6,16076.81,0.8,23.1,1539.73,0.91
fan_00884,13,16355.66,0.74,36.08,531.51,0.87
fan_00885,3,1065.64,0.41,64.48,16210.09,0.26
fan_00886,0,1550.05,0.67,100.21,6651.2,0.62
fan_00887,3,1412.74,0.73,47.38,7602.24,0.6
fan_00888,14,10505.85,0.79,22.16,838.13,0.99
fan_00889,0,577.65,0.72,107.39,6748.68,0.55
fan_00890,3,17991.34,0.5,38.35,786.74,0.78
fan_00891,1,200.64,0.61,109.87,9170.77,0.37
fan_00892,2,857.47,0.05,18.03,191.31,0.38
fan_00893,3,1543.7,0.82,37.96,7826.26,0.41
fan_00894,1,983.16,0.94,80.59,14476.06,0.42
fan_00895,4,30719.8,0.32,22.36,985.21,0.73
fan_00896,9,11340.68,0.66,39.73,3165.07,0.88
fan_00897,1,1391.22,0.98,83.42,9606.2,0.64
fan_00898,1,1014.23,0.95,79.28,3587.98,0.37
fan_00899,12,17938.26,0.84,51.91,771.75,0.94
fan_00900,4,10673.3,0.42,42.85,1298.79,0.7
fan_00901,2,313.37,0.28,29.4,377.14,0.25
fan_00902,2,1664.59,0.59,66.3,33893.28,0.21
fan_00903,7,17247.92,0.59,59.2,3047.02,0.92
fan_00904,1,1914.07,0.84,89.32,12708.78,0.59
fan_00905,9,17824.07,0.59,47.97,1661.73,0.82
fan_00906,2,597.61,0.16,17.65,398.57,0.2
fan_00907,7,21360.47,0.71,52.64,1854.73,0.93
fan_00908,14,20708.92,0.73,52.19,1343.29,0.81
fan_00909,6,9974.62,0.32,19.08,1735.62,0.79
fan_00910,7,15024.59,0.85,36.75,2457.7,0.96
fan_00911,3,2959.54,0.44,53.91,46631.11,0.41
fan_00912,11,18223.15,0.56,45.4,1620.94,0.88
fan_00913,2,17366.33,0.58,25.6,1311.14,0.71
fan_00914,8,13194.33,0.69,40.94,3956.67,0.83
fan_00915,10,15904.31,0.75,34.89,2578.57,0.97
fan_00916,5,33078.45,0.3,33.01,1685.07,0.91
fan_00917,2,714.18,0.75,41.71,20224.26,0.54
fan_00918,5,30772.27,0.7,24.88,1982.41,0.92
fan_00919,0,256.54,0.28,13.93,280.37,0.15
fan_00920,13,5383.74,0.55,27.31,2937.45,0.97
fan_00921,6,35725.36,0.6,26.06,1184.85,0.76
fan_00922,13,13500.08,0.55,48.66,2997.13,0.81
fan_00923,3,31323.21,0.53,48.15,968.73,0.72
fan_00924,2,679.85,0.22,11.12,369.7,0.36
fan_00925,6,22575.9,0.31,19.1,1228.01,0.88
fan_00926,2,152.25,0.26,21.98,413.37,0.22
fan_00927,12,8704.66,0.73,52.2,3881.35,0.83
fan_00928,6,7771.26,0.78,58.72,3958.17,0.93
fan_00929,1,745.05,0.25,21.64,177.6,0.23
fan_00930,4,27000.66,0.44,23.78,69.57,0.83
fan_00931,9,15544.84,0.77,30.81,2911.67,0.99
fan_00932,1,81.43,0.26,10.61,69.75,0.19
fan_00933,2,38174.01,0.41,24.23,329.31,0.7
fan_00934,8,15183.73,0.86,50.14,1224.81,0.88
fan_00935,2,38208.24,0.58,26.73,1059.4,0.77
fan_00936,2,184.96,0.09,29.67,146.73,0.22
fan_00937,6,20350.04,0.57,52.13,3511.1,0.95
fan_00938,3,29008.89,0.65,29.23,1532.19,0.92
fan_00939,1,1126.21,0.98,50,4424.78,0.57
fan_00940,1,1409.92,0.65,57,40547.3,0.57
fan_00941,1,1676.21,0.8,34.62,20417.3,0.43
fan_00942,7,20407.2,0.89,54.35,1044.05,0.87
fan_00943,1,2499.36,0.63,65.78,17898.34,0.23
fan_00944,12,5938.28,0.67,36.34,2187.91,0.82
fan_00945,2,824.82,0.14,17.3,463.12,0.3
fan_00946,0,1026.48,0.94,85.02,4048.12,0.53
fan_00947,8,9518.03,0.68,57.33,4762.89,0.87
fan_00948,0,1217.15,0.86,93.31,4299.92,0.65
fan_00949,1,1218.54,0.67,44.3,6727.58,0.49
fan_00950,2,24864.64,0.32,42.61,1222.52,0.95
fan_00951,2,2241.25,0.59,30.68,36762.04,0.29
